Observation_ID,Station,Instrument,Center_Frequencies,Size_MB,File_Label,Start_UTC,End_UTC,Direct_Download_URL,Scraped_Page
105196,AC0G_B1,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",31.5330,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105196/,302
105197,AC0G_B2,RX888-ka9q,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",34.8207,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105197/,302
105198,G4HZX-Main,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",19.4317,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105198/,302
105199,AB4EJ-rx888,rx888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",27.0429,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105199/,302
105203,PA0SLT Node 24,Grape 1 Legacy,14.670 MHz,3.8825,2025-08-11T000000Z_N0000024_G1_JO33kg_FRQ_CHU14.csv,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105203/,302
105206,pa0rwt Grape-1 Fldigi,Grape 1 Legacy,14.670 MHz,3.8817,2025-08-11T000000Z_N0000035_C1_JO33lg_FRQ_CHU14.csv,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105206/,302
105207,Marahau,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",15.6825,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105207/,302
105208,KV0S_MO,rx888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 20.000 MHz, 25.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",26.1011,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105208/,302
105209,K9TRV-WSPR-RX888-3,RX888-mk2 #3,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",27.8817,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105209/,303
105210,K9TRV RX888-1,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",26.6623,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105210/,303
105211,K3LR,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",24.4292,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105211/,303
105212,JJmp,Wsprdaemon-Beel...,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",21.2017,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105212/,303
105217,CAZ_KE2FDW,RX-888 MK II - ...,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",27.4096,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105217/,303
105221,w2naf-rx888-sas,rx888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",29.1740,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105221/,303
105222,NJIT-Demo,RX-888-2,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",19.0460,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105222/,303
105223,KC2G,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",9.9308,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105223/,303
105226,KFS_OMNI,KFS_Omni,"5.000 MHz, 2.500 MHz, 3.330 MHz",35.9456,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105226/,304
105228,g4zfq_Alan,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",20.3587,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105228/,304
105230,K9TRV-WSPR-RX888-2,RX888-mk2 #2,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",29.9980,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105230/,304
105237,KFS_SW,RX888,"5.000 MHz, 2.500 MHz, 3.330 MHz",6.6792,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105237/,304
128725,N8OBJ Node 1032,Grape 2,3.330 MHz,3.5448,2025-08-11T000000Z_N0001032_G2R1_EN91fh_FRQ_CHU3.csv,2025-08-11 00:00:00,2025-08-11 00:00:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/128725/,304
